Area.Code,LSOA.name,Population
E01008144,Sheffield 001A,1749
E01008145,Sheffield 001B,1427
E01008148,Sheffield 001C,1484
E01008149,Sheffield 001D,1425
E01008150,Sheffield 001E,1463
E01008142,Sheffield 002A,1542
E01008143,Sheffield 002B,1608
E01008146,Sheffield 002C,1261
E01008147,Sheffield 002D,1402
E01007888,Sheffield 003A,1339
E01007892,Sheffield 003B,1523
E01007893,Sheffield 003C,1448
E01007898,Sheffield 003D,1364
E01007899,Sheffield 003E,1381
E01007900,Sheffield 003F,1739
E01007901,Sheffield 003G,1522
E01007887,Sheffield 004A,1395
E01007889,Sheffield 004B,2679
E01007890,Sheffield 004C,1368
E01007891,Sheffield 004D,1503
E01007894,Sheffield 004E,1349
E01007895,Sheffield 004F,1388
E01007896,Sheffield 004G,1198
E01007897,Sheffield 005A,1296
E01008134,Sheffield 005B,1237
E01008135,Sheffield 005C,1681
E01008137,Sheffield 005D,1414
E01008141,Sheffield 005E,1574
E01008053,Sheffield 006A,1335
E01008056,Sheffield 006B,1527
E01008058,Sheffield 006C,1588
E01008138,Sheffield 006D,1299
E01008139,Sheffield 006E,1550
E01007856,Sheffield 007A,1257
E01008054,Sheffield 007B,1356
E01008055,Sheffield 007C,1691
E01008057,Sheffield 007D,1594
E01008126,Sheffield 008A,1506
E01008128,Sheffield 008C,1770
E01008136,Sheffield 008D,1407
E01008140,Sheffield 008E,1952
E01033275,Sheffield 008F,1743
E01033280,Sheffield 008G,1549
E01008085,Sheffield 009A,1388
E01008086,Sheffield 009B,1358
E01008116,Sheffield 009C,1297
E01008117,Sheffield 009D,1429
E01008118,Sheffield 009E,1387
E01008119,Sheffield 009F,1218
E01008125,Sheffield 009G,1542
E01007849,Sheffield 010A,2211
E01007857,Sheffield 010B,1689
E01008059,Sheffield 010C,1506
E01008060,Sheffield 010D,1495
E01008061,Sheffield 011A,1637
E01008063,Sheffield 011B,1445
E01033277,Sheffield 011E,2878
E01008087,Sheffield 012A,1450
E01008088,Sheffield 012B,1351
E01008090,Sheffield 012C,1645
E01008092,Sheffield 012D,1445
E01008122,Sheffield 012E,1554
E01008124,Sheffield 012F,1469
E01007848,Sheffield 013A,1866
E01007851,Sheffield 013B,1439
E01007947,Sheffield 013C,1680
E01007948,Sheffield 013D,1820
E01008062,Sheffield 013E,1719
E01007847,Sheffield 014A,1244
E01007850,Sheffield 014B,1496
E01007852,Sheffield 014C,1473
E01007853,Sheffield 014D,1771
E01007854,Sheffield 014E,1756
E01007855,Sheffield 014F,2201
E01007941,Sheffield 015A,1574
E01007945,Sheffield 015B,1767
E01007946,Sheffield 015C,1610
E01007950,Sheffield 015D,1566
E01008123,Sheffield 015E,1383
E01007987,Sheffield 016A,1483
E01007988,Sheffield 016B,1483
E01007989,Sheffield 016C,1447
E01007991,Sheffield 016D,1523
E01007995,Sheffield 017A,1529
E01008089,Sheffield 017B,1698
E01008091,Sheffield 017C,1431
E01008093,Sheffield 017D,1522
E01007903,Sheffield 018A,1718
E01007904,Sheffield 018B,1887
E01007913,Sheffield 018C,1703
E01007914,Sheffield 018D,1698
E01007870,Sheffield 019A,1976
E01007871,Sheffield 019B,1947
E01007943,Sheffield 019C,1760
E01008094,Sheffield 019D,1332
E01007869,Sheffield 020A,1775
E01007872,Sheffield 020B,1772
E01007873,Sheffield 020C,2173
E01007942,Sheffield 020D,2197
E01007949,Sheffield 020E,1895
E01007990,Sheffield 021A,1402
E01007992,Sheffield 021B,1636
E01007993,Sheffield 021C,1714
E01007994,Sheffield 021D,1357
E01007996,Sheffield 021E,1697
E01007874,Sheffield 022A,2148
E01007875,Sheffield 022B,2038
E01007877,Sheffield 022D,1483
E01007940,Sheffield 022E,2200
E01007944,Sheffield 022F,2609
E01033269,Sheffield 022G,2249
E01033270,Sheffield 022H,1963
E01008129,Sheffield 023A,1520
E01008130,Sheffield 023B,1546
E01008131,Sheffield 023C,1572
E01008132,Sheffield 023D,1322
E01008133,Sheffield 023E,1519
E01008151,Sheffield 024A,1576
E01008153,Sheffield 024B,1723
E01008154,Sheffield 024C,1703
E01008155,Sheffield 024D,1563
E01008156,Sheffield 024E,1446
E01008160,Sheffield 024F,1348
E01007997,Sheffield 025A,1514
E01007998,Sheffield 025B,1622
E01008152,Sheffield 025C,1461
E01008158,Sheffield 025D,1650
E01008065,Sheffield 026A,2175
E01008068,Sheffield 026B,3695
E01008072,Sheffield 026C,1724
E01008157,Sheffield 026D,1647
E01008161,Sheffield 026E,1769
E01007883,Sheffield 027A,1773
E01007902,Sheffield 027B,1829
E01007905,Sheffield 027C,2133
E01007906,Sheffield 027D,2761
E01008064,Sheffield 028A,1608
E01008066,Sheffield 028B,1650
E01008069,Sheffield 028C,1626
E01008074,Sheffield 028D,1459
E01007951,Sheffield 029A,1705
E01007960,Sheffield 029B,1625
E01007962,Sheffield 029C,1370
E01008159,Sheffield 029D,1529
E01007866,Sheffield 030A,1686
E01007867,Sheffield 030B,2044
E01007868,Sheffield 030C,1165
E01008067,Sheffield 030D,1727
E01008073,Sheffield 030E,1733
E01007907,Sheffield 032A,1717
E01007908,Sheffield 032B,1448
E01007909,Sheffield 032C,2409
E01007911,Sheffield 032D,1352
E01008014,Sheffield 032E,1720
E01008016,Sheffield 032F,1622
E01007952,Sheffield 033A,1598
E01007953,Sheffield 033B,1541
E01007954,Sheffield 033C,1572
E01007961,Sheffield 033D,1534
